Tên bài hát(file name),Định dạng,Ca sĩ (chính),Ca sĩ (phụ),Class,SCR,,,,,,,,,,,,,,
专心,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/专心.mp3,,,,,,,,,,,,,,
为什么还不想睡,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/为什么还不想睡.mp3,,,,,,,,,,,,,,
人间欢喜,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/人间欢喜.mp3,,,,,,,,,,,,,,
会不会太晚,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/会不会太晚.mp3,,,,,,,,,,,,,,
你怎么那么坏,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/你怎么那么坏.mp3,,,,,,,,,,,,,,
偏执少女,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/偏执少女.mp3,,,,,,,,,,,,,,
关于喜欢你这件小事,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/关于喜欢你这件小事.mp3,,,,,,,,,,,,,,
冰淇淋,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/冰淇淋.mp3,,,,,,,,,,,,,,
几曾未曾,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/几曾未曾.mp3,,,,,,,,,,,,,,
十里长亭,.mp3,Mạch Tiểu Đâu,Mạch Tiểu Đâu,Mạch_Tiểu_Đâu,../files/musics/Mạch Tiểu Đâu/十里长亭.mp3,,,,,,,,,,,,,,
